strength,date,,filename
18,2012-06-20.7,2012-06-16,AR_LIST_2012.06.16_12:00:00.txt
11,2012-06-21.5,2012-06-17,AR_LIST_2012.06.17_00:00:00.txt
475,2012-06-27.1,2012-06-19,AR_LIST_2012.06.19_00:00:00.txt
1011,2012-06-27.2,2012-06-19,AR_LIST_2012.06.19_12:00:00.txt
872,2012-06-27.7,2012-06-20,AR_LIST_2012.06.20_00:00:00.txt
853,2012-06-27.2,2012-06-20,AR_LIST_2012.06.20_12:00:00.txt
729,2012-06-27.6,2012-06-21,AR_LIST_2012.06.21_00:00:00.txt
658,2012-06-27.2,2012-06-21,AR_LIST_2012.06.21_12:00:00.txt
473,2012-06-27.7,2012-06-22,AR_LIST_2012.06.22_00:00:00.txt
345,2012-06-27.3,2012-06-22,AR_LIST_2012.06.22_12:00:00.txt
193,2012-06-27.7,2012-06-23,AR_LIST_2012.06.23_00:00:00.txt
245,2012-06-27.3,2012-06-23,AR_LIST_2012.06.23_12:00:00.txt
145,2012-06-28.0,2012-06-24,AR_LIST_2012.06.24_00:00:00.txt
146,2012-06-27.3,2012-06-24,AR_LIST_2012.06.24_12:00:00.txt
626,2012-07-23.0,2012-07-12,AR_LIST_2012.07.12_12:00:00.txt
1100,2012-07-23.6,2012-07-13,AR_LIST_2012.07.13_00:00:00.txt
1435,2012-07-23.1,2012-07-13,AR_LIST_2012.07.13_12:00:00.txt
1645,2012-07-23.7,2012-07-14,AR_LIST_2012.07.14_00:00:00.txt
1652,2012-07-23.2,2012-07-14,AR_LIST_2012.07.14_12:00:00.txt
1806,2012-07-23.7,2012-07-15,AR_LIST_2012.07.15_00:00:00.txt
1752,2012-07-23.2,2012-07-15,AR_LIST_2012.07.15_12:00:00.txt
501,2012-07-19.1,2012-07-16,AR_LIST_2012.07.16_00:00:00.txt
2061,2012-07-23.6,2012-07-16,AR_LIST_2012.07.16_00:00:00.txt
452,2012-07-18.6,2012-07-16,AR_LIST_2012.07.16_12:00:00.txt
1896,2012-07-23.1,2012-07-16,AR_LIST_2012.07.16_12:00:00.txt
544,2012-07-19.1,2012-07-17,AR_LIST_2012.07.17_00:00:00.txt
2107,2012-07-23.6,2012-07-17,AR_LIST_2012.07.17_00:00:00.txt
543,2012-07-18.7,2012-07-17,AR_LIST_2012.07.17_12:00:00.txt
1852,2012-07-23.1,2012-07-17,AR_LIST_2012.07.17_12:00:00.txt
563,2012-07-19.2,2012-07-18,AR_LIST_2012.07.18_00:00:00.txt
1842,2012-07-23.6,2012-07-18,AR_LIST_2012.07.18_00:00:00.txt
464,2012-07-19.0,2012-07-18,AR_LIST_2012.07.18_12:00:00.txt
1555,2012-07-23.0,2012-07-18,AR_LIST_2012.07.18_12:00:00.txt
451,2012-07-19.5,2012-07-19,AR_LIST_2012.07.19_00:00:00.txt
1707,2012-07-23.4,2012-07-19,AR_LIST_2012.07.19_00:00:00.txt
261,2012-07-19.3,2012-07-19,AR_LIST_2012.07.19_12:00:00.txt
528,2012-07-21.5,2012-07-19,AR_LIST_2012.07.19_12:00:00.txt
1501,2012-07-22.9,2012-07-19,AR_LIST_2012.07.19_12:00:00.txt
22,2012-07-20.1,2012-07-20,AR_LIST_2012.07.20_00:00:00.txt
485,2012-07-22.0,2012-07-20,AR_LIST_2012.07.20_00:00:00.txt
1666,2012-07-23.4,2012-07-20,AR_LIST_2012.07.20_00:00:00.txt
755,2012-07-21.4,2012-07-20,AR_LIST_2012.07.20_12:00:00.txt
1385,2012-07-22.9,2012-07-20,AR_LIST_2012.07.20_12:00:00.txt
610,2012-07-21.9,2012-07-21,AR_LIST_2012.07.21_00:00:00.txt
1320,2012-07-23.4,2012-07-21,AR_LIST_2012.07.21_00:00:00.txt
618,2012-07-21.4,2012-07-21,AR_LIST_2012.07.21_12:00:00.txt
1225,2012-07-22.9,2012-07-21,AR_LIST_2012.07.21_12:00:00.txt
102,2012-07-22.1,2012-07-22,AR_LIST_2012.07.22_00:00:00.txt
1174,2012-07-23.4,2012-07-22,AR_LIST_2012.07.22_00:00:00.txt
1230,2012-07-22.9,2012-07-22,AR_LIST_2012.07.22_12:00:00.txt
1016,2012-07-23.6,2012-07-23,AR_LIST_2012.07.23_00:00:00.txt
506,2012-07-23.4,2012-07-23,AR_LIST_2012.07.23_12:00:00.txt
149,2012-07-24.2,2012-07-24,AR_LIST_2012.07.24_00:00:00.txt
87,2012-07-25.4,2012-07-25,AR_LIST_2012.07.25_00:00:00.txt
616,2012-08-21.4,2012-08-11,AR_LIST_2012.08.11_00:00:00.txt
761,2012-08-21.0,2012-08-11,AR_LIST_2012.08.11_12:00:00.txt
964,2012-08-21.5,2012-08-12,AR_LIST_2012.08.12_00:00:00.txt
1244,2012-08-21.1,2012-08-12,AR_LIST_2012.08.12_12:00:00.txt
1396,2012-08-21.6,2012-08-13,AR_LIST_2012.08.13_00:00:00.txt
1305,2012-08-21.2,2012-08-13,AR_LIST_2012.08.13_12:00:00.txt
1208,2012-08-21.7,2012-08-14,AR_LIST_2012.08.14_00:00:00.txt
991,2012-08-21.4,2012-08-14,AR_LIST_2012.08.14_12:00:00.txt
920,2012-08-21.8,2012-08-15,AR_LIST_2012.08.15_00:00:00.txt
981,2012-08-21.5,2012-08-15,AR_LIST_2012.08.15_12:00:00.txt
850,2012-08-21.9,2012-08-16,AR_LIST_2012.08.16_00:00:00.txt
897,2012-08-21.5,2012-08-16,AR_LIST_2012.08.16_12:00:00.txt
787,2012-08-21.8,2012-08-17,AR_LIST_2012.08.17_00:00:00.txt
657,2012-08-21.3,2012-08-17,AR_LIST_2012.08.17_12:00:00.txt
628,2012-08-21.8,2012-08-18,AR_LIST_2012.08.18_00:00:00.txt
529,2012-08-21.2,2012-08-18,AR_LIST_2012.08.18_12:00:00.txt
604,2012-08-21.7,2012-08-19,AR_LIST_2012.08.19_00:00:00.txt
559,2012-08-21.2,2012-08-19,AR_LIST_2012.08.19_12:00:00.txt
575,2012-08-21.7,2012-08-20,AR_LIST_2012.08.20_00:00:00.txt
483,2012-08-21.2,2012-08-20,AR_LIST_2012.08.20_12:00:00.txt
532,2012-08-21.8,2012-08-21,AR_LIST_2012.08.21_00:00:00.txt
370,2012-08-21.4,2012-08-21,AR_LIST_2012.08.21_12:00:00.txt
602,2012-09-14.7,2012-09-06,AR_LIST_2012.09.06_12:00:00.txt
793,2012-09-15.3,2012-09-07,AR_LIST_2012.09.07_00:00:00.txt
806,2012-09-14.8,2012-09-07,AR_LIST_2012.09.07_12:00:00.txt
939,2012-09-15.4,2012-09-08,AR_LIST_2012.09.08_00:00:00.txt
792,2012-09-14.9,2012-09-08,AR_LIST_2012.09.08_12:00:00.txt
860,2012-09-15.5,2012-09-09,AR_LIST_2012.09.09_00:00:00.txt
605,2012-09-14.9,2012-09-09,AR_LIST_2012.09.09_12:00:00.txt
652,2012-09-15.5,2012-09-10,AR_LIST_2012.09.10_00:00:00.txt
1208,2012-09-18.4,2012-09-10,AR_LIST_2012.09.10_00:00:00.txt
400,2012-09-15.0,2012-09-10,AR_LIST_2012.09.10_12:00:00.txt
