strength,date,Unnamed: 2,filename
1180,2016-09,2016-02-29,AR_LIST_2016.02.29_12:00:00.txt
774,2016-09,2016-03-01,AR_LIST_2016.03.01_00:00:00.txt
453,2016-10,2016-03-01,AR_LIST_2016.03.01_00:00:00.txt
787,2016-09,2016-03-01,AR_LIST_2016.03.01_12:00:00.txt
452,2016-10,2016-03-01,AR_LIST_2016.03.01_12:00:00.txt
497,2016-09,2016-03-02,AR_LIST_2016.03.02_00:00:00.txt
469,2016-10,2016-03-02,AR_LIST_2016.03.02_00:00:00.txt
430,2016-09,2016-03-02,AR_LIST_2016.03.02_12:00:00.txt
530,2016-10,2016-03-02,AR_LIST_2016.03.02_12:00:00.txt
131,2016-09,2016-03-03,AR_LIST_2016.03.03_00:00:00.txt
491,2016-10,2016-03-03,AR_LIST_2016.03.03_00:00:00.txt
24,2016-09,2016-03-03,AR_LIST_2016.03.03_12:00:00.txt
601,2016-10,2016-03-03,AR_LIST_2016.03.03_12:00:00.txt
597,2016-10,2016-03-04,AR_LIST_2016.03.04_00:00:00.txt
930,2016-10,2016-03-04,AR_LIST_2016.03.04_12:00:00.txt
819,2016-10,2016-03-05,AR_LIST_2016.03.05_00:00:00.txt
868,2016-10,2016-03-05,AR_LIST_2016.03.05_12:00:00.txt
645,2016-10,2016-03-06,AR_LIST_2016.03.06_00:00:00.txt
619,2016-10,2016-03-06,AR_LIST_2016.03.06_12:00:00.txt
459,2016-10,2016-03-07,AR_LIST_2016.03.07_00:00:00.txt
382,2016-10,2016-03-07,AR_LIST_2016.03.07_12:00:00.txt
292,2016-10,2016-03-08,AR_LIST_2016.03.08_00:00:00.txt
478,2016-10,2016-03-08,AR_LIST_2016.03.08_12:00:00.txt
372,2016-10,2016-03-09,AR_LIST_2016.03.09_00:00:00.txt
178,2016-10,2016-03-09,AR_LIST_2016.03.09_12:00:00.txt
624,2016-12,2016-03-17,AR_LIST_2016.03.17_00:00:00.txt
822,2016-12,2016-03-17,AR_LIST_2016.03.17_12:00:00.txt
1211,2016-12,2016-03-18,AR_LIST_2016.03.18_00:00:00.txt
1537,2016-12,2016-03-18,AR_LIST_2016.03.18_12:00:00.txt
1688,2016-12,2016-03-19,AR_LIST_2016.03.19_00:00:00.txt
1652,2016-12,2016-03-19,AR_LIST_2016.03.19_12:00:00.txt
1750,2016-12,2016-03-20,AR_LIST_2016.03.20_00:00:00.txt
1884,2016-12,2016-03-20,AR_LIST_2016.03.20_12:00:00.txt
1891,2016-12,2016-03-21,AR_LIST_2016.03.21_00:00:00.txt
1651,2016-12,2016-03-21,AR_LIST_2016.03.21_12:00:00.txt
